Depth,Sonic_Velocity,TEMP,R64,Time (s),Amplitude,Instantaneous_freq,ins_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1500.0,4621.835204613104,76.961,29.822499999999994,0.696,1483.1543,36.81865692138672,36.81865692138672,1483.1543,1483.154296875,2199746.8
1506.0,4624.287374568183,76.733,8.912849999999999,0.7,-889.8916,49.12322998046875,49.12322998046875,889.8916,296.63134765625,791907.06
1515.0,4627.965629500801,77.28,11.681999999999999,0.704,-2175.291,198.77197265625,198.77197265625,2175.291,-527.3427734375,4731891.0
1524.5,4631.8482319296745,77.882,23.554850000000002,0.708,-1087.6455,38.96879959106445,38.96879959106445,1087.6455,-667.41845703125,1182972.8
1533.5,4635.526486862293,78.227,27.26765,0.712,1384.2773,30.304729461669922,30.304729461669922,1384.2773,-257.079296875,1916223.8
1543.0,4639.409089291167,78.895,20.72435,0.716,3460.6924,25.445690155029297,25.445690155029297,3460.6924,138.4283203125,11976392.0
1552.0,4643.087344223785,82.7,9.5715,0.72,4152.828,21.435121536254883,21.435121536254883,4152.828,1146.972265625,17245982.0
1561.5,4646.96994665266,83.577,11.23565,0.724,3856.1992,16.75693130493164,16.75693130493164,3856.1992,2353.2703125,14870272.0
1571.0,4650.852549081534,82.596,48.03614999999999,0.728,3361.8154,14.171091079711914,14.171091079711914,3361.8154,3243.1625,11301803.0
1580.0,4654.530804014152,84.956,17.455849999999998,0.732,2076.415,16.95893669128418,16.95893669128418,2076.415,3381.5900390625,4311499.5
1589.5,4658.413406443026,84.189,18.97435,0.736,-1087.6455,21.032812118530273,21.032812118530273,1087.6455,2471.9224609375,1182972.8
1598.5,4662.091661375644,84.348,33.87965,0.74,-5339.3516,23.25434684753418,23.25434684753418,5339.3516,573.4865234375,28508676.0
1608.0,4665.974263804519,84.754,26.303849999999997,0.744,-8404.535,24.95083236694336,24.95083236694336,8404.535,-1878.6603515625,70636210.0
1617.5,4669.856866233393,84.462,28.911,0.748,-7811.2734,223.9514617919922,223.9514617919922,7811.2734,-4113.278125,61015990.0
1626.5,4673.535121166011,86.32,20.95635,0.752,-3658.4453,26.15485191345215,26.15485191345215,3658.4453,-5260.2501953125,13384222.0
1636.0,4677.4177235948855,87.984,6.469849999999999,0.756,1483.1543,26.40790557861328,26.40790557861328,1483.1543,-4746.090234375,2199746.8
1645.5,4681.30032602376,88.661,9.83015,0.76,4449.461,25.98537254333496,25.98537254333496,4449.461,-2788.327734375,19797702.0
1655.0,4685.182928452635,88.438,32.94435,0.764,4152.828,23.218229293823242,23.218229293823242,4152.828,-276.855078125,17245982.0
1664.0,4688.861183385252,87.477,31.195000000000004,0.768,2471.9229,15.918343544006348,15.918343544006348,2471.9229,1779.7841796875,6110402.5
1673.5,4692.743785814127,87.334,14.9995,0.772,1779.7842,5.682162284851074,5.682162284851074,1779.7842,2867.430078125,3167631.8
1683.0,4696.626388243001,86.564,24.3155,0.776,2669.6768,1.026179552078247,1.026179552078247,2669.6768,3104.7345703125,7127174.0
1692.5,4700.508990671876,89.412,26.6875,0.78,3065.1846,21.131010055541992,21.131010055541992,3065.1846,2827.879296875,9395356.0
1702.0,4704.3915931007505,89.124,28.358500000000003,0.784,791.0156,28.887771606445312,28.887771606445312,791.0156,2155.516796875,625705.75
1711.0,4708.069848033368,89.211,45.78635,0.788,-3361.8145,33.05690002441406,33.05690002441406,3361.8145,988.7693359375,11301796.0
1720.5,4711.952450462242,90.543,13.599350000000001,0.792,-5537.1055,213.71519470214844,213.71519470214844,5537.1055,-474.60859375,30659536.0
1730.0,4715.835052891117,89.754,8.88565,0.796,-2966.3066,40.132633209228516,40.132633209228516,2966.3066,-1601.8052734375,8798975.0
1739.5,4719.7176553199915,88.246,24.47265,0.8,2966.3076,42.098514556884766,42.098514556884766,2966.3076,-1621.5806640625,8798981.0
1749.0,4723.600257748865,88.667,10.10465,0.804,7020.258,39.65365982055664,39.65365982055664,7020.258,-375.7322265625,49284020.0
1758.5,4727.48286017774,89.815,5.025,0.808,5635.9805,35.36143112182617,35.36143112182617,5635.9805,1423.8267578125,31764276.0
1768.0,4731.3654626066145,89.01,4.17635,0.812,-395.50684,31.48794174194336,31.48794174194336,395.50684,2452.146484375,156425.66
1777.5,4735.248065035489,92.085,6.143,0.816,-6921.379,28.056671142578125,28.056671142578125,6921.379,1661.13203125,47905484.0
1786.5,4738.926319968107,100.8,7.189,0.82,-10382.074,25.23600196838379,25.23600196838379,10382.074,-1008.5443359375,107787464.0
1796.0,4742.808922396981,100.655,8.374649999999999,0.824,-9887.6875,227.2373046875,227.2373046875,9887.6875,-4390.1333984375,97766370.0
1805.5,4746.691524825856,99.641,10.75985,0.828,-6525.875,21.09964942932129,21.09964942932129,6525.875,-6822.5044921875,42587044.0
1815.0,4750.57412725473,101.597,10.17965,0.832,-1483.1533,20.568124771118164,20.568124771118164,1483.1533,-7040.0337890625,2199743.8
1824.5,4754.456729683605,100.706,13.524500000000002,0.836,3658.4453,20.202930450439453,20.202930450439453,3658.4453,-4924.0689453125,13384222.0
1834.0,4758.3393321124795,101.302,10.928999999999998,0.84,7218.0117,19.767457962036133,19.767457962036133,7218.0117,-1404.0517578125,52099692.0
1844.0,4762.42628203761,102.042,9.17215,0.844,8206.781,18.471927642822266,18.471927642822266,8206.781,2214.8419921875,67351256.0
