Time (s),Depth,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.468,675.0050581370282,8.195747093148599,-2470.5068,17.83832359313965,2470.5068,2986.0923828125,6103404.0
0.472,680.8589911118825,6.8234320442663,-6874.453,19.113937377929688,6874.453,343.7236328125,47258104.0
0.476,686.591216489992,7.92638515429921,-10419.098,20.16489028930664,10419.098,-2900.1599609375,108557590.0
0.48,692.331667743612,7.3677832579469555,-11278.402,229.3935546875,11278.402,-5950.699609375,127202360.0
0.484,698.1760120436022,15.345083974387755,-8807.895,20.415206909179688,8807.895,-7970.0708984375,77579010.0
0.488,704.1796490995763,16.16691930614507,-3974.295,19.796079635620117,3974.295,-8270.828515625,15795020.0
0.492,710.2607792746907,9.060852062345505,1611.2021,19.169546127319336,1611.2021,-6573.6974609375,2595972.2
0.496,716.1615948364938,12.44484051635095,6337.3906,18.060815811157227,6337.3906,-3222.3998046875,40162520.0
0.5,722.4515510556354,14.944186126676463,9667.203,17.029457092285156,9667.203,966.7212890625,93454820.0
0.504,728.6353682594774,15.054215037378482,11600.645,17.500991821289062,11600.645,5048.4291015625,134574960.0
0.508,734.8741506631972,14.797230429647394,11493.23,18.166112899780273,11493.23,8141.9341796875,132094344.0
0.512,740.7777655224411,9.037783170125126,8700.484,19.599157333374023,8700.484,9559.790625,75698430.0
0.516,746.6943872607708,9.6215350568208,2685.335,21.287126541137695,2685.335,8829.3794921875,7211024.0
0.52,752.8882138000346,15.347268609940715,-5155.84,22.51554298400879,5155.84,5864.7708984375,26582684.0
0.524,759.1453190608787,16.72976805252382,-12030.297,23.987783432006836,12030.297,1138.5826171875,144728050.0
0.528,765.6109848274,15.710837131123771,-14393.391,225.10830688476562,14393.391,-4038.7416015625,207169700.0
0.532,771.5775029787517,8.14062902131089,-10956.164,25.648183822631836,10956.164,-7970.0712890625,120037530.0
0.536,777.7509447146895,8.255056682881369,-3007.5742,26.71689224243164,3007.5742,-9108.653125,9045503.0
0.54,784.2026395188932,15.280776769776448,5478.082,27.320011138916016,5478.082,-6981.86875,30009382.0
0.544,790.4528357972691,14.370997027446416,10419.098,27.926280975341797,10419.098,-2491.98984375,108557590.0
0.548,797.0743291472659,12.077996431025337,9774.617,28.418310165405273,9774.617,2341.61171875,95543144.0
0.552,803.476850685222,11.922982438117215,4833.6016,28.197145462036133,4833.6016,5499.56484375,23363704.0
0.556,809.9453166420798,17.071205154620127,-1181.5469,28.029861450195312,1181.5469,5864.7703125,1396053.0
0.56,816.4771561322583,11.525508179160758,-5263.254,27.619855880737305,5263.254,3716.503125,27701842.0
0.564,822.8629800501769,11.93158827856224,-6015.1484,26.332788467407227,6015.1484,429.65390625,36182012.0
0.568,828.496469472511,6.209812021322437,-4296.535,225.3069305419922,4296.535,-2384.5765625,18460214.0
0.572,833.5107872625675,8.245073021225057,-1826.0264,22.341833114624023,1826.0264,-3716.5021484375,3334372.2
0.576,840.2528306259675,15.048453827206341,107.41406,19.44668197631836,107.41406,-3458.7099609375,11537.781
0.58,846.8928261536648,14.76843476926623,1288.9619,17.178674697875977,1288.9619,-2148.266796875,1661422.9
0.584,853.5479187979885,9.287874104845638,1933.4424,16.174213409423828,1933.4424,-558.5486328125,3738199.5
0.588,860.0554120378395,16.56742495443187,2148.2686,15.702584266662598,2148.2686,730.412109375,4615058.0
0.592,866.7930946841376,16.2880203327918,2040.8545,15.915348052978516,2040.8545,1503.78828125,4165087.0
0.596,873.8533604575046,16.296193490197897,1503.7881,18.089799880981445,1503.7881,1783.0630859375,2261378.5
0.6,880.620263500445,18.625308035180765,751.89453,14.904004096984863,751.89453,1675.649609375,565345.4
0.604,887.3254858616494,17.809991157774128,537.0674,2.0117039680480957,537.0674,1396.374609375,288441.38
0.608,894.2544671636671,16.592800866152576,859.3076,11.951603889465332,859.3076,1138.582421875,738409.56
0.612,901.096461806162,16.517076286752367,1288.9619,6.449419975280762,1288.9619,988.20390625,1661422.9
0.616,908.1357508773054,12.007581824170252,966.7217,18.328306198120117,966.7217,880.790625,934550.8
0.62,914.4058323456252,8.33,-644.4795,22.351119995117188,644.4795,601.5158203125,415353.8
0.624,920.8918686199848,7.811551975392384,-3007.5742,23.825088500976562,3007.5742,-107.4125,9045503.0
0.628,927.4919898785146,20.080978056510677,-4833.6016,24.89153289794922,4833.6016,-1245.9943359375,23363704.0
0.632,934.451208143093,19.58826113014962,-4726.1875,224.3676300048828,4726.1875,-2449.02421875,22336848.0
0.636,941.4360916093822,15.971399700164177,-2363.0938,25.823293685913086,2363.0938,-3114.9873046875,5584212.0
0.64,948.2812532493059,10.016060063018173,1181.5479,25.863597869873047,1181.5479,-2749.7818359375,1396055.4
0.644,954.3263125611189,8.14687904705948,4189.121,25.71318244934082,4189.121,-1310.4427734375,17548736.0
0.648,961.0565350154084,9.334033388290683,5370.668,25.57936668395996,5370.668,730.4111328125,28844074.0
0.652,967.9977914745446,12.936142269691686,4296.535,25.75503158569336,4296.535,2534.9556640625,18460214.0
0.656,974.8659639025021,12.118792048611464,1718.6152,24.794095993041992,1718.6152,3351.2974609375,2953638.2
0.66,981.3084327938217,7.784229113296421,-966.7197,23.46845817565918,966.7197,2921.6439453125,934547.0
0.664,987.9118850154629,17.86487229407388,-3007.5742,23.368309020996094,3007.5742,1482.3048828125,9045503.0
0.668,994.9134015109104,18.36172174314499,-3759.4678,22.07421112060547,3759.4678,-343.722265625,14133598.0
0.672,1002.0448203462872,11.112052727357796,-3437.2275,229.37905883789062,3437.2275,-1890.4748046875,11814533.0
0.676,1008.5652765010536,10.369403454442038,-2363.0938,19.549394607543945,2363.0938,-2706.8166015625,5584212.0
0.68,1015.3770948637143,9.179055733734216,-1074.1328,17.49628448486328,1074.1328,-2728.29921875,1153761.2
0.684,1022.4769448106867,22.662769448106875,429.6543,18.214818954467773,429.6543,-2040.853515625,184602.81
