Time (s),Depth,Sonic_Velocity,AC,R64,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.124,130.68120076157118,2142.4514758908344,,,,-736.3506,38.80455780029297,736.3506,-736.3505859375,542212.2
0.128,134.96831280067894,2144.610490347345,,,,-736.3506,210.3264617919922,736.3506,-736.3505859375,542212.2
0.132,139.25974499713664,2146.7716804601223,,,,-210.38574,31.160083770751953,210.38574,-561.0289713541666,44262.16
0.136,143.5555017306546,2148.9350484348133,,,,210.38574,38.127803802490234,210.38574,-368.17529296875,44262.16
0.14,147.8555873721167,2151.100596472621,,,,105.19238,80.95872497558594,105.19238,-273.5017578125,11065.4375
0.144,152.16000628360612,2153.2683267703155,,,,-420.77246,164.4940185546875,420.77246,-210.3861328125,177049.47
0.148,156.4687628184328,2155.4382415202485,,,,-315.5791,43.39753341674805,315.5791,-126.2318359375,99590.17
0.152,160.78186132115908,2157.6103429103673,,,,525.96387,35.71036148071289,525.96387,21.0380859375,276638.0
0.156,165.0993061276268,2159.7846331242263,,,,1577.8936,36.05916213989258,1577.8936,294.5396484375,2489748.0
0.16,169.42110205652372,2161.961114588546,,,,1472.7002,33.41019821166992,1472.7002,568.0412109375,2168845.8
0.164,173.74725305129363,2164.139789289266,,,,315.57812,30.541851043701172,315.57812,715.311328125,99589.555
0.168,178.07776340539215,2166.3206593885957,,,,-1051.9297,31.80474853515625,1051.9297,568.0412109375,1106556.1
0.172,182.41263771332683,2168.503727200357,,,,-1367.5078,34.8676872253418,1367.5078,189.346875,1870077.6
0.176,186.7518805906936,2170.6889950489885,,,,-420.77246,206.2960205078125,420.77246,-210.386328125,177049.47
0.18,191.09549580422518,2172.876464831441,,,,631.1572,70.67786407470703,631.1572,-378.694921875,398359.44
0.184,195.44348863595403,2175.066139207775,,,,631.1572,53.26361846923828,631.1572,-315.5791015625,398359.44
0.188,199.7958625491059,2177.258019922092,,,,-525.96484,34.09563446044922,525.96484,-210.3861328125,276639.03
0.192,204.1526229131618,2179.4521096784924,,,,-1998.665,28.973920822143555,1998.665,-336.617578125,3994662.0
0.196,208.51377327400354,2181.648410262704,,,,-2735.0156,223.59339904785156,2735.0156,-799.4662109375,7480310.5
0.2,212.87931865208913,2183.846924203059,,,,-2314.2441,25.18919563293457,2314.2441,-1388.546484375,5355726.0
0.204,217.1485768556609,2184.9149116141707,139.50199999999998,,,-631.1582,25.55750846862793,631.1582,-1641.0095703125,398360.7
0.208,226.54447560645926,7230.309341890767,42.157964126619966,,,1683.0859,24.65715217590332,1683.0859,-1199.1994140625,2832778.2
0.212,234.63741854539515,3799.8486856746226,80.21383709078839,0.12062581454605796,,3997.329,24.988136291503906,3997.329,-0.0005859375,15978640.0
0.216,239.48590704743427,1912.9273553271673,159.33695202303974,15.920229386447216,6.486229386447217,5154.449,26.959468841552734,5154.449,1577.8923828125,26568346.0
0.22,243.40849535633086,1881.7357213394923,161.97818848179378,16.14490278620007,6.503,3786.9443,27.27394676208496,3786.9443,2798.130078125,14340947.0
0.224,246.99399225425037,1752.4491110785239,173.9281337578756,14.85011628204025,6.266,105.19238,27.575305938720703,105.19238,2945.4001953125,11065.4375
0.228,250.5311137677899,1729.0075463260653,176.2861137677891,14.215110181273834,5.817999999999999,-4418.1016,28.573802947998047,4418.1016,1725.1626953125,19519622.0
0.232,253.9215757296784,1720.9835495734203,177.1080642979357,14.057472718904165,5.938866651324304,-7047.922,29.23751449584961,7047.922,-483.8875,49673204.0
0.236,257.4986056989576,1819.7949976169205,167.49139430104236,15.731762968822796,7.005,-5890.801,220.09388732910156,5890.801,-2692.9375,34701532.0
0.24,261.0547143312542,1776.6896061351918,171.5552369616145,14.429395722938002,6.2927185445609455,-1367.5078,30.39585304260254,1367.5078,-3723.8279296875,1870077.6
0.244,264.58046144141474,1706.9382518905638,178.56534317300168,12.791046144141243,6.027058407190959,4102.5195,31.06217384338379,4102.5195,-2924.3625,16830666.0
0.248,268.033051244377,1733.5423103092976,175.82816316464516,13.516415139130936,6.423330980807544,7363.5,31.721782684326172,7363.5,-568.0421875,54221132.0
0.252,271.61787996075634,1823.064638646817,167.191,14.963430396860312,7.005,6311.5703,31.062910079956055,6311.5703,2103.85625,39835920.0
0.256,275.21367742388617,1792.9700177209431,169.9990181367415,13.70095483372549,5.696501930680927,1683.0859,30.2143611907959,1683.0859,3618.63359375,2832778.2
0.26,278.65402110963856,1676.1947273107169,181.84050200817742,17.038183588638276,9.26983261715097,-4207.715,29.67863655090332,4207.715,3050.5921875,17704864.0
0.264,282.0115485440682,1605.0552922590834,189.90000000000006,23.57006558354257,8.143669272423839,-8099.8516,28.189699172973633,8099.8516,610.11796875,65607596.0
0.268,285.62815026988943,1920.1558265457256,158.73731957684922,21.371,8.592,-8415.43,222.8795166015625,8415.43,-2545.66796875,70819460.0
0.272,289.23756748073845,1797.3605689283067,169.58199999999994,21.385264845762403,9.853748489750904,-4838.871,26.845136642456055,4838.871,-4775.75625,23414674.0
0.276,292.817013176639,1723.636413599248,176.8426462819871,23.04998682335967,8.305370423792503,1051.9287,26.001676559448242,1051.9287,-4901.9876953125,1106554.0
0.28,296.4342895098761,1648.7604915475847,184.86923189235986,25.390799202925574,9.90525019692288,6732.3438,25.434661865234375,6732.3438,-2713.9759765625,45324452.0
0.284,299.7657027779204,1807.2482189387922,168.65425147193767,23.895831250321784,10.028100278306932,9782.9375,25.12605857849121,9782.9375,862.5818359375,95705864.0
0.288,303.361733624422,1639.4500742270704,185.916,28.646494716152176,10.736999999999997,8941.395,24.34221649169922,8941.395,4333.9466796875,79948536.0
0.292,306.9207508907239,1800.362297636647,169.29941145490835,25.076897505965658,8.934223239303037,4944.0625,23.783870697021484,4944.0625,6290.5333984375,24443754.0
0.296,310.6877035666655,1724.9188654976942,176.70406019532126,26.424983714666904,11.590683260339903,-315.5791,23.39711570739746,315.5791,6017.0318359375,99590.17
0.3,314.22332396912543,1830.11062550227,166.54735206175104,21.936136891732698,8.753,-4312.9062,22.312374114990234,4312.9062,3807.9818359375,18601160.0
0.304,317.9818356558961,1839.8742372152885,165.66945651227564,20.63427342623587,8.887210475670578,-5785.6094,20.624553680419922,5785.6094,694.2724609375,33473276.0
0.308,321.78533008641074,1976.852600883758,154.18461374392004,19.93553793244849,9.10893885309947,-5154.449,231.40069580078125,5154.449,-2124.8962890625,26568346.0
