Time (s),Depth,TEMP,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.468,675.0050581370282,42.03380232548112,-2470.5068,17.83832359313965,2470.5068,2986.0923828125,6103404.0
0.472,680.8589911118825,42.26825964447543,-6874.453,19.113937377929688,6874.453,343.7236328125,47258104.0
0.476,686.591216489992,42.49784865959955,-10419.098,20.16489028930664,10419.098,-2900.1599609375,108557590.0
0.48,692.331667743612,42.7276667097446,-11278.402,229.3935546875,11278.402,-5950.699609375,127202360.0
0.484,698.1760120436022,42.961740481743966,-8807.895,20.415206909179688,8807.895,-7970.0708984375,77579010.0
0.488,704.1796490995763,43.202185963982934,-3974.295,19.796079635620117,3974.295,-8270.828515625,15795020.0
0.492,710.2607792746907,43.44573117098765,1611.2021,19.169546127319336,1611.2021,-6573.6974609375,2595972.2
0.496,716.1615948364938,43.68206379345962,6337.3906,18.060815811157227,6337.3906,-3222.3998046875,40162520.0
0.5,722.4515510556354,43.93396204222549,9667.203,17.029457092285156,9667.203,966.7212890625,93454820.0
0.504,728.6353682594774,44.18165009863843,11600.645,17.500991821289062,11600.645,5048.4291015625,134574960.0
0.508,734.8741506631972,44.43156602652803,11493.23,18.166112899780273,11493.23,8141.9341796875,132094344.0
0.512,740.7777655224411,44.66801062089772,8700.484,19.599157333374023,8700.484,9559.790625,75698430.0
0.516,746.6943872607708,44.90496987769147,2685.335,21.287126541137695,2685.335,8829.3794921875,7211024.0
0.52,752.8882138000346,45.15302855200153,-5155.84,22.51554298400879,5155.84,5864.7708984375,26582684.0
0.524,759.1453190608787,45.40361276243501,-12030.297,23.987783432006836,12030.297,1138.5826171875,144728050.0
0.528,765.6109848274,45.66253939309585,-14393.391,225.10830688476562,14393.391,-4038.7416015625,207169700.0
0.532,771.5775029787517,45.90150011914995,-10956.164,25.648183822631836,10956.164,-7970.0712890625,120037530.0
0.536,777.7509447146895,46.14873778858758,-3007.5742,26.71689224243164,3007.5742,-9108.653125,9045503.0
0.54,784.2026395188932,46.407105580755584,5478.082,27.320011138916016,5478.082,-6981.86875,30009382.0
0.544,790.4528357972691,46.65741343189084,10419.098,27.926280975341797,10419.098,-2491.98984375,108557590.0
0.548,797.0743291472659,46.92267316589052,9774.617,28.418310165405273,9774.617,2341.61171875,95543144.0
0.552,803.476850685222,47.179074027408916,4833.6016,28.197145462036133,4833.6016,5499.56484375,23363704.0
0.556,809.9453166420798,47.43811266568328,-1181.5469,28.029861450195312,1181.5469,5864.7703125,1396053.0
0.56,816.4771561322583,47.69968624529037,-5263.254,27.619855880737305,5263.254,3716.503125,27701842.0
0.564,822.8629800501769,47.955419202007235,-6015.1484,26.332788467407227,6015.1484,429.65390625,36182012.0
0.568,828.496469472511,48.18105877890044,-4296.535,225.3069305419922,4296.535,-2384.5765625,18460214.0
0.572,833.5107872625675,48.38193149050269,-1826.0264,22.341833114624023,1826.0264,-3716.5021484375,3334372.2
0.576,840.2528306259675,48.651913225038705,107.41406,19.44668197631836,107.41406,-3458.7099609375,11537.781
0.58,846.8928261536648,48.917813046146755,1288.9619,17.178674697875977,1288.9619,-2148.266796875,1661422.9
0.584,853.5479187979885,49.184416751919464,1933.4424,16.174213409423828,1933.4424,-558.5486328125,3738199.5
0.588,860.0554120378395,49.44501648151349,2148.2686,15.702584266662598,2148.2686,730.412109375,4615058.0
0.592,866.7930946841376,49.71482378736566,2040.8545,15.915348052978516,2040.8545,1503.78828125,4165087.0
0.596,873.8533604575046,49.99763441830035,1503.7881,18.089799880981445,1503.7881,1783.0630859375,2261378.5
0.6,880.620263500445,50.26861054001763,751.89453,14.904004096984863,751.89453,1675.649609375,565345.4
0.604,887.3254858616494,50.537119434466156,537.0674,2.0117039680480957,537.0674,1396.374609375,288441.38
0.608,894.2544671636671,50.8146786865467,859.3076,11.951603889465332,859.3076,1138.582421875,738409.56
0.612,901.096461806162,51.088658472246316,1288.9619,6.449419975280762,1288.9619,988.20390625,1661422.9
0.616,908.1357508773054,51.37063003509204,966.7217,18.328306198120117,966.7217,880.790625,934550.8
0.62,914.4058323456252,51.62173329382515,-644.4795,22.351119995117188,644.4795,601.5158203125,415353.8
0.624,920.8918686199848,51.88147474479955,-3007.5742,23.825088500976562,3007.5742,-107.4125,9045503.0
0.628,927.4919898785146,52.14577959514059,-4833.6016,24.89153289794922,4833.6016,-1245.9943359375,23363704.0
0.632,934.451208143093,52.424548325723784,-4726.1875,224.3676300048828,4726.1875,-2449.02421875,22336848.0
0.636,941.4360916093822,52.70424366437537,-2363.0938,25.823293685913086,2363.0938,-3114.9873046875,5584212.0
0.64,948.2812532493059,52.978450129972366,1181.5479,25.863597869873047,1181.5479,-2749.7818359375,1396055.4
