Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.328,1705.4395,54.0597038269043,1705.4395,341.087890625,2908523.8
0.332,1404.4795,41.89579391479492,1404.4795,621.9837890625,1972562.6
0.336,100.319336,27.18425750732422,100.319336,642.04765625,10063.969
0.34,-1203.8408,24.052597045898438,1203.8408,401.2794921875,1449232.8
0.344,-1805.7607,20.42197036743164,1805.7607,40.12734375,3260771.8
0.348,-1906.081,10.346997261047363,1906.081,-682.1767578125,3633145.0
0.352,-2307.3613,8.208938598632812,2307.3613,-1424.544921875,5323916.5
0.356,-3109.921,235.9065399169922,3109.921,-2066.59296875,9671608.0
0.36,-2808.961,22.775663375854492,2808.961,-2387.6169921875,7890261.5
0.364,-100.32031,26.247692108154297,100.32031,-2046.52890625,10064.165
0.368,4313.758,29.106952667236328,4313.758,-802.5611328125,18608506.0
0.372,7223.039,31.25016212463379,7223.039,1103.5189453125,52172292.0
0.376,5617.918,32.564369201660156,5617.918,2849.08671875,31561002.0
0.38,-300.96094,34.3032112121582,300.96094,3350.68671875,90577.484
0.384,-6420.4805,35.51536560058594,6420.4805,2086.6546875,41222570.0
0.388,-7724.6406,214.24728393554688,7724.6406,-321.025,59670070.0
0.392,-3210.2412,35.66343307495117,3210.2412,-2407.6810546875,10305649.0
0.396,3611.5195,35.67839813232422,3611.5195,-2808.9607421875,13043073.0
0.4,7323.3594,35.79465866088867,7323.3594,-1284.0966796875,53631590.0
0.404,5216.6367,35.4892463684082,5216.6367,1043.3267578125,27213298.0
0.408,-100.32031,35.2531623840332,100.32031,2568.1908203125,10064.165
0.412,-4113.121,35.89424133300781,4113.121,2387.61484375,16917766.0
0.416,-4012.8008,213.66761779785156,4012.8008,862.75078125,16102570.0
0.42,-1203.8408,36.28234100341797,1203.8408,-842.6892578125,1449232.8
0.424,1003.1992,36.29567337036133,1003.1992,-1685.3767578125,1006408.7
0.428,902.8789,33.6578254699707,902.8789,-1484.7369140625,815190.3
0.432,-100.32031,69.45503234863281,100.32031,-682.1767578125,10064.165
0.436,200.63965,20.377676010131836,200.63965,160.511328125,40256.27
0.44,2507.999,33.055152893066406,2507.999,902.879296875,6290059.0
0.444,4414.078,31.750999450683594,4414.078,1585.055078125,19484086.0
0.448,3511.1992,29.726497650146484,3511.1992,2106.719140625,12328520.0
0.452,-601.9209,28.76595115661621,601.9209,2006.3990234375,362308.78
0.456,-5718.2383,27.424959182739258,5718.2383,822.6234375,32698250.0
0.46,-8828.16,26.148704528808594,8828.16,-1444.6083984375,77936410.0
0.464,-8226.238,225.35484313964844,8226.238,-3972.6716796875,67671000.0
0.468,-4715.039,22.724151611328125,4715.039,-5617.9193359375,22231594.0
0.472,300.95898,21.95248794555664,300.95898,-5437.343359375,90576.31
0.476,5216.6367,21.154512405395508,5216.6367,-3250.368359375,27213298.0
0.48,8828.16,20.86110496520996,8828.16,280.895703125,77936410.0
0.484,10032.0,21.322725296020508,10032.0,3932.543359375,100641020.0
0.488,8326.559,21.04800033569336,8326.559,6540.862890625,69331576.0
0.492,4313.758,21.219968795776367,4313.758,7343.42265625,18608506.0
0.496,-702.2412,21.1317138671875,702.2412,6159.6470703125,493142.72
0.5,-5016.0,20.83555793762207,5016.0,3390.8150390625,25160256.0
0.504,-7423.6797,20.680740356445312,7423.6797,-100.3208984375,55111020.0
0.508,-7524.0,229.91815185546875,7524.0,-3270.4326171875,56610576.0
0.512,-5718.2383,19.978633880615234,5718.2383,-5276.8318359375,32698250.0
0.516,-3009.6006,18.732105255126953,3009.6006,-5738.3037109375,9057696.0
0.52,-501.6006,17.663869857788086,501.6006,-4835.423828125,251603.14
0.524,1103.5195,15.372597694396973,1103.5195,-3129.983984375,1217755.4
0.528,1504.7998,7.8805341720581055,1504.7998,-1324.2240234375,2264422.5
0.532,1906.0791,5.140691757202148,1906.0791,200.639453125,3633137.5
0.536,3109.92,9.382494926452637,3109.92,1424.5435546875,9671602.0
0.54,5216.6367,18.017148971557617,5216.6367,2568.191015625,27213298.0
0.544,6219.84,22.73421287536621,6219.84,3591.455078125,38686410.0
0.548,4414.078,25.10367202758789,4414.078,4173.3107421875,19484086.0
0.552,-401.28125,27.447650909423828,401.28125,3711.838671875,161026.64
0.556,-5417.2812,28.640106201171875,5417.2812,2006.3984375,29346936.0
0.56,-7223.039,29.622159957885742,7223.039,-481.53671875,52172292.0
0.564,-4715.039,218.66839599609375,4715.039,-2668.5125,22231594.0
0.568,100.319336,34.14136505126953,100.319336,-3531.2642578125,10063.969
0.572,3511.1992,39.13209533691406,3511.1992,-2748.7681640625,12328520.0
0.576,3009.5996,45.05413818359375,3009.5996,-1063.3919921875,9057690.0
