Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy,Lithology_label,Strat_Simplified_Viro_label,TEMP,RD,Lithology_name,Strat_Simplified_Viro_name
0.328,1705.4395,54.0597038269043,1705.4395,341.087890625,2908523.8,13,1,61.02819639008548,32.25808436617387,gravel and clays,Bilogora
0.332,1404.4795,41.89579391479492,1404.4795,621.9837890625,1972562.6,13,1,61.09705139008548,32.30295126860477,gravel and clays,Bilogora
0.336,100.319336,27.18425750732422,100.319336,642.04765625,10063.969,13,1,61.245303979934135,32.61578287348936,gravel and clays,Bilogora
0.34,-1203.8408,24.05259704589844,1203.8408,401.2794921875,1449232.8,13,1,61.47618379320198,32.563593088352555,gravel and clays,Bilogora
0.344,-1805.7607,20.42197036743164,1805.7607,40.12734375,3260771.8,18,4,62.452933985401735,34.06804148285115,marly clays and sandstones,KLOSTAR IVANIC
0.348,-1906.081,10.346997261047363,1906.081,-682.1767578125,3633145.0,6,1,61.81966172526245,35.12897460477529,clay and sand,Bilogora
0.352,-2307.3613,8.208938598632812,2307.3613,-1424.544921875,5323916.5,6,1,61.81272924767582,32.94467374693165,clay and sand,Bilogora
0.356,-3109.921,235.9065399169922,3109.921,-2066.59296875,9671608.0,13,1,61.30395487189799,30.846029811049807,gravel and clays,Bilogora
0.36,-2808.961,22.77566337585449,2808.961,-2387.6169921875,7890261.5,6,1,61.86408682588754,30.73184250060593,clay and sand,Bilogora
0.364,-100.32031,26.247692108154297,100.32031,-2046.52890625,10064.165,18,1,61.33179354206846,32.655804625379936,marly clays and sandstones,Bilogora
0.368,4313.758,29.106952667236328,4313.758,-802.5611328125,18608506.0,18,1,61.62792140664793,29.45298325983497,marly clays and sandstones,Bilogora
0.372,7223.039,31.25016212463379,7223.039,1103.5189453125,52172292.0,10,1,61.57915741047037,30.812151321879508,clays and gravel,Bilogora
0.376,5617.918,32.56436920166016,5617.918,2849.08671875,31561002.0,10,1,61.448170880529965,31.83182035285208,clays and gravel,Bilogora
0.38,-300.96094,34.3032112121582,300.96094,3350.68671875,90577.484,10,1,61.055589251551,35.081071017157306,clays and gravel,Bilogora
0.384,-6420.4805,35.51536560058594,6420.4805,2086.6546875,41222570.0,10,5,62.21163067122353,31.34768625402901,clays and gravel,Lonja
0.388,-7724.6406,214.24728393554688,7724.6406,-321.025,59670070.0,9,4,62.19860855780463,30.63097294399405,clayey sandstone and sandy marls,KLOSTAR IVANIC
0.392,-3210.2412,35.66343307495117,3210.2412,-2407.6810546875,10305649.0,10,4,62.04204466920683,31.21087005037141,clays and gravel,KLOSTAR IVANIC
0.396,3611.5195,35.67839813232422,3611.5195,-2808.9607421875,13043073.0,10,4,62.074701012318926,31.47624165552099,clays and gravel,KLOSTAR IVANIC
0.4,7323.3594,35.79465866088867,7323.3594,-1284.0966796875,53631590.0,17,4,62.27209806277537,31.03122922237345,marls and sandstones,KLOSTAR IVANIC
0.404,5216.6367,35.4892463684082,5216.6367,1043.3267578125,27213298.0,13,4,62.16364164311803,31.398392967793484,gravel and clays,KLOSTAR IVANIC
0.408,-100.32031,35.2531623840332,100.32031,2568.1908203125,10064.165,9,4,61.82587041698463,36.03135286208511,clayey sandstone and sandy marls,KLOSTAR IVANIC
0.412,-4113.121,35.89424133300781,4113.121,2387.61484375,16917766.0,13,4,62.17243496563421,33.98781659525714,gravel and clays,KLOSTAR IVANIC
0.416,-4012.8008,213.6676177978516,4012.8008,862.75078125,16102570.0,18,1,61.42659066232507,33.95515432379114,marly clays and sandstones,Bilogora
0.42,-1203.8408,36.28234100341797,1203.8408,-842.6892578125,1449232.8,17,4,61.9674342832174,35.65779686291585,marls and sandstones,KLOSTAR IVANIC
0.424,1003.1992,36.29567337036133,1003.1992,-1685.3767578125,1006408.7,18,4,61.9817543559727,35.92180644696769,marly clays and sandstones,KLOSTAR IVANIC
0.428,902.8789,33.6578254699707,902.8789,-1484.7369140625,815190.3,9,1,61.34209813896163,35.78693003105265,clayey sandstone and sandy marls,Bilogora
0.432,-100.32031,69.45503234863281,100.32031,-682.1767578125,10064.165,9,4,61.98865190802535,35.774517123820324,clayey sandstone and sandy marls,KLOSTAR IVANIC
0.436,200.63965,20.37767601013184,200.63965,160.511328125,40256.27,13,1,61.849723585247865,37.51580284391692,gravel and clays,Bilogora
0.44,2507.999,33.055152893066406,2507.999,902.879296875,6290059.0,18,1,61.73353028069347,34.09722337280565,marly clays and sandstones,Bilogora
0.444,4414.078,31.7509994506836,4414.078,1585.055078125,19484086.0,8,1,61.88272177705028,32.84747980537238,clayey marls,Bilogora
0.448,3511.1992,29.726497650146484,3511.1992,2106.719140625,12328520.0,17,4,62.59553797578384,33.826672674383225,marls and sandstones,KLOSTAR IVANIC
0.452,-601.9209,28.76595115661621,601.9209,2006.3990234375,362308.78,17,4,62.332118103262026,34.741567068871554,marls and sandstones,KLOSTAR IVANIC
0.456,-5718.2383,27.42495918273925,5718.2383,822.6234375,32698250.0,8,4,62.75689302186996,32.51534507529045,clayey marls,KLOSTAR IVANIC
0.46,-8828.16,26.1487045288086,8828.16,-1444.6083984375,77936410.0,9,4,62.94378224080923,32.66240302412644,clayey sandstone and sandy marls,KLOSTAR IVANIC
0.464,-8226.238,225.35484313964844,8226.238,-3972.6716796875,67671000.0,9,4,62.78633443879117,32.879432142278546,clayey sandstone and sandy marls,KLOSTAR IVANIC
0.468,-4715.039,22.724151611328125,4715.039,-5617.9193359375,22231594.0,9,1,62.55465051391002,32.73819341140783,clayey sandstone and sandy marls,Bilogora
0.472,300.95898,21.95248794555664,300.95898,-5437.343359375,90576.31,8,1,62.26227666865475,34.97808027726147,clayey marls,Bilogora
0.476,5216.6367,21.154512405395508,5216.6367,-3250.368359375,27213298.0,13,1,62.6179958626243,34.139077777209515,gravel and clays,Bilogora
0.48,8828.16,20.86110496520996,8828.16,280.895703125,77936410.0,9,1,62.80220226911327,35.54940591081328,clayey sandstone and sandy marls,Bilogora
0.484,10032.0,21.322725296020508,10032.0,3932.543359375,100641020.0,9,1,62.85153093220532,37.33291614972159,clayey sandstone and sandy marls,Bilogora
0.488,8326.559,21.04800033569336,8326.559,6540.862890625,69331576.0,9,4,63.61128763607744,36.36832775067167,clayey sandstone and sandy marls,KLOSTAR IVANIC
0.492,4313.758,21.219968795776367,4313.758,7343.42265625,18608506.0,13,4,63.51079839192408,34.783878544294005,gravel and clays,KLOSTAR IVANIC
0.496,-702.2412,21.1317138671875,702.2412,6159.6470703125,493142.72,8,1,62.45863611039678,39.224419590586415,clayey marls,Bilogora
0.5,-5016.0,20.83555793762207,5016.0,3390.8150390625,25160256.0,13,1,62.82885930929791,36.5830099088767,gravel and clays,Bilogora
0.504,-7423.6797,20.680740356445312,7423.6797,-100.3208984375,55111020.0,9,1,63.039341222463335,34.542534486779985,clayey sandstone and sandy marls,Bilogora
0.508,-7524.0,229.91815185546875,7524.0,-3270.4326171875,56610576.0,9,1,62.5821247607948,33.38002625710669,clayey sandstone and sandy marls,Bilogora
0.512,-5718.2383,19.978633880615234,5718.2383,-5276.8318359375,32698250.0,17,1,62.93554311347286,35.41894474965756,marls and sandstones,Bilogora
0.516,-3009.6006,18.73210525512696,3009.6006,-5738.3037109375,9057696.0,13,4,63.63550984902314,34.321432319703426,gravel and clays,KLOSTAR IVANIC
0.52,-501.6006,17.663869857788086,501.6006,-4835.423828125,251603.14,9,1,62.76469209107784,35.899147779380165,clayey sandstone and sandy marls,Bilogora
0.524,1103.5195,15.372597694396973,1103.5195,-3129.983984375,1217755.4,8,4,63.54747439859018,36.19222817071228,clayey marls,KLOSTAR IVANIC
0.528,1504.7998,7.8805341720581055,1504.7998,-1324.2240234375,2264422.5,8,1,62.91990360871021,36.411341086085805,clayey marls,Bilogora
0.532,1906.0791,5.140691757202148,1906.0791,200.639453125,3633137.5,8,1,63.09838502349551,36.94746384322804,clayey marls,Bilogora
0.536,3109.92,9.382494926452637,3109.92,1424.5435546875,9671602.0,8,1,63.04663387798746,37.17217848038933,clayey marls,Bilogora
