Time (s),Depth,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.996,2495.474831015423,56.205150258335536,-7151.0625,26.16526222229004,7151.0625,-858.1265625,51137696.0
1.0,2505.418411265274,59.479552005798155,-10011.492,225.25363159179688,10011.492,-2908.098828125,100229976.0
1.004,2515.2495247911174,56.38303611587508,-8819.645,23.766677856445312,8819.645,-5244.11328125,77786130.0
1.008,2525.0878158066025,58.07096507773128,-4052.2695,22.806894302368164,4052.2695,-6435.957421875,16420888.0
1.012,2535.111137573115,71.59159140149504,2145.3203,22.032453536987305,2145.3203,-5577.8296875,4602399.0
1.016,2545.2210445630617,58.855430745065576,7866.172,22.588603973388672,7866.172,-2574.3828125,61876660.0
1.02,2555.057654623755,52.031916289620504,10726.598,22.424293518066406,10726.598,1573.23515625,115059896.0
1.024,2565.1632380020083,59.991391720858374,10249.859,22.379655838012695,10249.859,5387.1359375,105059620.0
1.028,2575.0862212171896,52.75857454391104,6435.957,23.74751853942871,6435.957,7484.78125,41421544.0
1.032,2585.0856260918667,76.87146984210693,476.73828,24.5131893157959,476.73828,7151.06484375,227279.39
1.036,2595.0129728223205,57.84683527524198,-5482.4805,25.509906768798828,5482.4805,4481.334375,30057592.0
1.04,2605.0012993168393,59.53885774850442,-9058.016,25.882081985473633,9058.016,524.41171875,82047650.0
1.044,2615.146979884138,65.20520603886342,-9296.383,224.69891357421875,9296.383,-3384.83671875,86422740.0
1.048,2625.0942372349705,78.76022792523736,-5959.2188,26.280498504638672,5959.2188,-5863.871875,35512290.0
1.052,2635.312417903558,78.33345052219553,953.47656,27.208433151245117,953.47656,-5768.52421875,909117.56
1.056,2645.3638259910326,84.63250026763218,8819.648,27.471908569335938,8819.648,-2908.0984375,77786200.0
1.06,2655.7640601412418,86.29296345933628,13587.023,28.18760108947754,13587.023,1620.909375,184607200.0
1.064,2665.97743913662,50.38290334518518,11441.703,28.547470092773438,11441.703,5768.5265625,130912570.0
1.068,2675.8215165692013,50.25997757895062,3098.7969,28.61737632751465,3098.7969,7580.1296875,9602542.0
1.072,2685.715367133127,57.88939641808929,-6197.59,28.675098419189453,6197.59,6149.91640625,38410120.0
1.076,2695.9618152126122,67.21363289994795,-10249.859,27.209766387939453,10249.859,2336.01484375,105059620.0
1.08,2706.225143021219,79.20779912751594,-8819.645,226.01280212402344,8819.645,-2145.31875,77786130.0
1.084,2716.5496502615333,75.03803427436979,-5482.4805,20.60081672668457,5482.4805,-5530.15546875,30057592.0
1.088,2726.6228055371084,92.25593462215669,-2622.0566,16.83443260192871,2622.0566,-6674.326171875,6875181.0
1.092,2737.141788750631,145.4592978624441,238.36914,17.98019790649414,238.36914,-5387.134375,56819.848
1.096,2747.6387803236107,138.61715276320115,4290.6406,23.320844650268555,4290.6406,-2479.034375,18409596.0
1.1,2758.1036132357494,128.45008345119152,7627.801,26.92229461669922,7627.801,810.4546875,58183344.0
1.104,2768.841155901016,104.6337007378477,7151.0664,29.553293228149414,7151.0664,3337.1640625,51137750.0
1.108,2779.3762063706868,103.65123955497015,2622.0586,29.274810791015625,2622.0586,4385.987109375,6875191.5
1.112,2789.9411374696756,89.43400966544138,-1906.9492,26.81545066833496,1906.9492,3956.9234375,3636455.2
