Time (s),Depth,Sonic_Velocity,AC,PHIT,R64,RD,TEMP,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.104,138.22475719257065,2721.060653302154,,,,,,,-429.65234,41.768592834472656,429.65234,-429.65234375,184601.14
0.108,143.67173365799687,2725.829625386544,,,,,,,-537.0664,214.27853393554688,537.0664,-483.359375,288440.3
0.112,149.12825639654366,2730.606955485755,,,,,,,-322.23926,26.67340660095215,322.23926,-429.6526692708333,103838.14
0.116,154.59434192661442,2735.3926580620846,,,,,,,107.41406,26.98225212097168,107.41406,-295.385986328125,11537.781
0.12,160.0700077367418,2740.1867484272066,,,,,,,429.6543,21.366933822631836,429.6543,-150.3779296875,184602.81
0.124,165.55526993557962,2744.9892406846748,,,,,,,644.48145,18.524463653564453,644.48145,64.448828125,415356.34
0.128,171.050145478063,2749.8001496789825,,,,,,,644.48145,17.662532806396484,644.48145,300.7583984375,415356.34
0.132,176.55465125974573,2754.6194902026355,,,,,,,644.48145,6.098038196563721,644.48145,494.1025390625,415356.34
0.136,182.06880411711168,2759.4472769964195,,,,,,,751.89453,12.22298812866211,751.89453,622.9986328125,565345.4
0.14,187.59262082788368,2764.2835247496764,,,,,,,644.48145,16.762554168701172,644.48145,665.9640625,415356.34
0.144,193.12611893712463,2769.128248823573,,,,,,,214.82715,19.51321792602539,214.82715,580.033203125,46150.703
0.148,198.66931481627316,2773.9814635517364,,,,,,,-537.0664,21.72675895690918,537.0664,343.7236328125,288440.3
0.152,204.22222553407587,2778.843183878307,,,,,,,-1288.96,22.14891815185547,1288.96,-42.9646484375,1661417.8
0.156,209.78486820373996,2783.71342478635,,,,,,,-1718.6133,24.299762725830078,1718.6133,-537.0662109375,2953631.5
0.16,215.3572601409493,2788.5922014362054,,,,,,,-1396.373,224.4380340576172,1396.373,-945.237109375,1949857.6
0.164,220.93941798693334,2793.47952839771,,,,,,,-537.0664,24.775903701782227,537.0664,-1095.6158203125,288440.3
0.168,226.53135902228877,2798.3754208004834,,,,,,,537.0674,26.709880828857422,537.0674,-880.7890625,288441.38
0.172,232.1331004670603,2803.2798937211314,,,,,,,1288.9619,29.789243698120117,1288.9619,-365.2046875,1661422.9
0.176,237.74465948105745,2808.1929621835206,,,,,,,1181.5479,29.149192810058594,1181.5479,214.8275390625,1396055.4
0.18,243.36605316417095,2813.114641159058,,,,,,,537.0674,31.2071533203125,537.0674,601.515625,288441.38
0.184,248.9972985566852,2818.0449455669645,,,,,,,-322.23926,36.79251480102539,322.23926,644.4810546875,103838.14
0.188,254.63841383094254,2822.983891317606,,,,,,,-644.4795,36.204471588134766,644.4795,408.1716796875,415353.8
0.192,260.28941510316895,2827.931492521165,,,,,,,-537.0664,214.41397094726562,537.0664,42.966015625,288440.3
0.196,265.9503207068924,2832.887765229131,,,,,,,0.0,37.75175476074219,0.0,-193.3435546875,0.0
0.2,271.62114717050497,2837.852723912549,,,,,,,429.6543,29.984996795654297,429.6543,-214.826171875,184602.81
0.204,277.30191215143077,2842.826384030961,,,,,,,537.0674,18.902498245239258,537.0674,-42.96484375,288441.38
0.208,282.9926334715764,2847.8087611879178,,,,,,,537.0674,8.129325866699219,537.0674,193.34453125,288441.38
0.212,288.6933281900399,2852.7998703191106,,,,,,,751.89453,4.1613640785217285,751.89453,451.13671875,565345.4
0.216,294.40401384439474,2857.7997267791507,,,,,,,1074.1348,14.075643539428711,1074.1348,665.963671875,1153765.5
0.22,300.12470823384024,2862.8083461517076,,,,,,,1181.5479,18.56258201599121,1181.5479,816.3423828125,1396055.4
0.224,305.8554285043164,2867.8257434485054,,,,,,,429.6543,23.57947540283203,429.6543,794.859765625,184602.81
0.228,311.5961919461362,2872.851933807671,,,,,,,-1074.1328,23.70730972290039,1074.1328,472.6197265625,1153761.2
0.232,317.34701721990155,2877.886933567055,,,,,,,-2685.334,23.872373580932617,2685.334,-214.8259765625,7211018.5
0.236,323.10792072303417,2882.930757083035,,,,,,,-3437.2275,224.8249053955078,3437.2275,-1117.0984375,11814533.0
0.24,328.8789211204273,2887.9834206972187,,,,,,,-2685.334,24.293209075927734,2685.334,-1890.4748046875,7211018.5
0.244,334.66003566690836,2893.0449395166647,,,,,,,-966.7197,23.60824966430664,966.7197,-2169.749609375,934547.0
0.248,340.451282022443,2898.115329003139,,,,,,,751.89453,22.444896697998047,751.89453,-1804.544140625,565345.4
