Time (s),Depth,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.484,751.9058206662665,10.800672792732021,12344.863,22.064851760864258,12344.863,7406.91875,152395650.0
0.488,760.3449103631608,8.412790336576716,7343.0664,22.511018753051758,7343.0664,8896.8162109375,53920624.0
0.492,766.5297106285702,6.573673956571422,-744.94824,22.233009338378906,744.94824,8024.1619140625,554947.9
0.496,771.7000864353048,7.6640224731774635,-8620.121,21.9080867767334,8620.121,4554.8291015625,74306490.0
0.5,776.8818003484577,7.0759921533204055,-13302.656,21.65248680114746,13302.656,-595.9591796875,176960660.0
0.504,782.7067909354408,8.907252997102166,-13409.078,229.4081268310547,13409.078,-5746.7474609375,179803380.0
0.508,788.6811895691835,8.2884951655343,-10216.441,19.158262252807617,10216.441,-9258.6490234375,104375670.0
0.512,794.754341066923,10.407402296408556,-5746.746,17.566648483276367,5746.746,-10259.00859375,33025090.0
0.516,801.1911273176979,13.107216044515043,-1596.3184,15.688535690307617,1596.3184,-8854.248046875,2548232.2
0.52,807.560682109422,11.310640926565501,1809.1621,14.325613975524902,1809.1621,-5831.884375,3273067.5
0.524,814.0767470255661,10.056924014001796,5001.797,14.971177101135254,5001.797,-2149.709375,25017972.0
0.528,820.5134892724791,11.817061203433433,7768.75,16.400691986083984,7768.75,1447.32890625,60353476.0
0.532,826.8939717316293,13.559581483965138,9258.648,17.649145126342773,9258.648,4448.4078125,85722570.0
0.536,833.2872892677665,13.28800909727454,8620.121,18.32674789428711,8620.121,6491.695703125,74306490.0
0.54,839.1594781021257,8.862643065521478,6172.4297,17.692873001098633,6172.4297,7364.34921875,38098890.0
0.544,845.3118867395335,7.113433978138228,2979.796,16.63158416748047,2979.796,6959.9490234375,8879184.0
0.548,851.7170698502581,14.909122316472137,319.26367,13.734619140625,319.26367,5470.0517578125,101929.29
0.552,858.1810838688949,12.359028643956295,-1702.7402,11.367701530456543,1702.7402,3277.7740234375,2899324.2
0.556,864.982972345015,12.67188870566078,-4150.426,12.622231483459473,4150.426,723.6646484375,17226034.0
0.56,871.8848013966617,15.07988773463509,-7449.4883,15.639642715454102,7449.4883,-2000.7189453125,55494876.0
0.564,878.6291152666626,7.986188222002104,-10642.125,19.460176467895508,10642.125,-4725.103125,113254824.0
0.568,885.0103248152014,8.751348029567662,-11067.809,228.00172424316406,11067.809,-7002.517578125,122496380.0
0.572,891.1709020004798,10.143800101214996,-7023.801,23.441247940063477,7023.801,-8066.7296875,49333776.0
0.576,897.648694299752,12.509895543980146,851.3701,24.66739845275879,851.3701,-7066.3705078125,724831.06
0.58,904.4060792939985,12.096844934141535,9258.648,25.73379898071289,9258.648,-3724.7431640625,85722570.0
0.584,911.4507435026592,11.911459118425949,13621.922,26.29681968688965,13621.922,1128.0662109375,185556750.0
0.588,918.4338494308763,15.099661505691284,11706.336,26.646574020385742,11706.336,5682.8951171875,137038300.0
0.592,925.078067027868,12.506297427247144,4895.375,27.08599090576172,4895.375,8066.7302734375,23964696.0
0.596,931.7665306245691,9.816465324365984,-2766.9521,27.443946838378906,2766.9521,7343.0658203125,7656024.0
0.6,938.6352450410699,7.5985505830525595,-7343.0664,28.02164077758789,7343.0664,4022.7228515625,53920624.0
0.604,944.7301650993521,6.5244792476875375,-7236.6445,221.27365112304688,7236.6445,-148.9904296875,52369024.0
0.608,951.8921592602723,15.67319540712556,-3724.7441,30.225788116455078,3724.7441,-3235.2064453125,13873719.0
0.612,959.3638272994123,16.26136055772866,638.5283,32.949581146240234,638.5283,-4086.57578125,407718.4
0.616,966.3408928711326,10.206757117113481,3086.2178,34.962379455566406,3086.2178,-2915.941796875,9524740.0
0.62,973.5231317751688,14.271473187546874,2979.796,37.40281677246094,2979.796,-851.3693359375,8879184.0
0.624,980.6910574541896,16.638958865776875,638.5283,38.98694610595703,638.5283,723.665234375,407718.4
0.628,987.9137482196583,15.244859669245283,-2022.0039,34.811912536621094,2022.0039,1064.21328125,4088499.8
0.632,995.3527055499328,15.300837667004073,-3618.3232,30.72380256652832,3618.3232,212.84296875,13092263.0
0.636,1002.8410968405955,15.732260673050593,-3299.0586,219.2559814453125,3299.0586,-1064.2123046875,10883788.0
0.64,1009.9789251153019,11.552074884699936,-851.3701,29.167922973632812,851.3701,-1830.4455078125,724831.06
0.644,1017.221498921854,19.717098490589297,2341.2686,27.87172508239746,2341.2686,-1489.8974609375,5481538.5
0.648,1024.6598755941866,16.48002019829169,4788.957,28.10999870300293,4788.957,-127.7052734375,22934110.0
0.652,1031.0490091843121,8.34430642902153,5001.797,27.912555694580078,5001.797,1596.31875,25017972.0
0.656,1037.921566821108,8.092882027798161,2660.5322,28.36488151550293,2660.5322,2788.2369140625,7078431.5
0.66,1045.531509451998,18.3,-1064.2119,28.33698844909668,1064.2119,2745.6685546875,1132547.0
0.664,1052.8473309297808,16.78774373433257,-4150.426,28.339536666870117,4150.426,1447.3296875,17226034.0
0.668,1060.3280013723368,16.5441565279798,-5001.797,221.02197265625,5001.797,-510.82109375,25017972.0
0.672,1067.9248337490685,17.7,-3299.0586,28.65584945678711,3299.0586,-2170.9921875,10883788.0
0.676,1075.0557429878443,9.528057807861211,-212.84277,29.132057189941406,212.84277,-2745.6671875,45302.047
0.68,1082.2581305607623,17.789814235554907,2447.6895,29.389997482299805,2447.6895,-2043.2869140625,5991183.5
0.684,1089.7565824134294,13.013073193705326,3192.6377,27.68048095703125,3192.6377,-574.67421875,10192935.0
0.688,1097.092394402391,12.089543664144005,2341.2686,25.886018753051758,2341.2686,893.9388671875,5481538.5
0.692,1104.2229306939275,13.58036475438928,1064.2129,21.25763511657715,1064.2129,1766.5931640625,1132549.1
0.696,1111.7850744516977,12.601030602195797,319.26367,14.068559646606445,319.26367,1873.014453125,101929.29
0.7,1118.9005640219439,14.486759748433718,212.84277,1.9024542570114136,212.84277,1426.0451171875,45302.047
0.704,1125.9812687129868,8.900752245558186,106.421875,4.428239345550537,106.421875,808.801953125,11325.615
0.708,1133.5881513024876,18.258842935668433,-1064.2119,18.995609283447266,1064.2119,127.705859375,1132547.0
0.712,1141.6647150697866,19.59983372746342,-2873.374,22.59368324279785,2873.374,-659.8115234375,8256278.5
0.716,1149.0555122363376,14.348373620200778,-4256.8477,224.4099578857422,4256.8477,-1575.0337890625,18120752.0
0.72,1156.3731971333336,10.487536057333456,-3618.3232,26.566713333129883,3618.3232,-2341.2669921875,13092263.0
0.724,1163.8125604736276,9.432197992678077,-957.791,26.282207489013672,957.791,-2554.1095703125,917363.6
0.728,1171.5902358439678,20.902511792198865,2554.1104,26.607280731201172,2554.1104,-1830.4451171875,6523479.5
0.732,1179.6723654453517,18.07933740365606,5001.797,26.731069564819336,5001.797,-255.4109375,25017972.0
0.736,1188.0944361568859,21.117830101189476,5001.797,26.61863136291504,5001.797,1596.31796875,25017972.0
0.74,1196.1715766448065,21.480695036175046,2873.374,25.643936157226562,2873.374,2894.657421875,8256278.5
0.744,1204.1295973526182,20.74012410343093,212.84277,24.562414169311523,212.84277,3128.7841796875,45302.047
0.748,1211.9789460560453,9.56789610171523,-1596.3184,23.376628875732422,1596.3184,2298.6984375,2548232.2
0.752,1220.0986860754927,24.14693997330576,-1915.583,18.940731048583984,1915.583,915.2224609375,3669458.2
0.756,1228.212916177806,24.193888071968786,-1489.8975,9.634209632873535,1489.8975,-383.11640625,2219794.5
0.76,1236.500925714749,25.497148114359838,-1383.4766,3.026466131210327,1383.4766,-1234.4865234375,1914007.4
0.764,1244.8726030933742,27.31742474240792,-2128.4248,8.324520111083984,2128.4248,-1702.7400390625,4530192.0
0.768,1253.313965515475,24.609589650541963,-2873.374,231.01974487304688,2873.374,-1958.151171875,8256278.5
0.772,1261.701655851705,26.43285455390943,-2447.6885,23.955303192138672,2447.6885,-2064.572265625,5991179.0
0.776,1269.838818981691,18.17292450022162,0.0,26.95653533935547,0.0,-1766.5927734375,0.0
0.78,1278.1867485727112,27.882003078445646,3405.4814,27.770183563232422,3405.4814,-808.801171875,11597304.0
0.784,1286.673600718159,26.719567195658158,5746.746,28.70830726623535,5746.746,766.2330078125,33025090.0
0.788,1295.0682524857484,19.72523133504952,5108.2188,29.454936981201172,5108.2188,2362.5515625,26093898.0
0.792,1303.454208750368,23.79114142406411,1489.8975,29.62752914428711,1489.8975,3150.06875,2219794.5
0.796,1311.108562550085,18.852384622975762,-3192.6377,30.042600631713867,3192.6377,2511.5412109375,10192935.0
0.8,1319.4165548364326,29.67487922333643,-6172.4297,30.324426651000977,6172.4297,595.958984375,38098890.0
0.804,1327.5272026259124,11.970444953937863,-5640.324,219.76016235351562,5640.324,-1681.455078125,31813258.0
0.808,1335.7564553882357,26.877960115764267,-2128.4248,29.6724853515625,2128.4248,-3128.7837890625,4530192.0
0.812,1344.1351866241928,18.097236783446256,2128.4258,28.93568229675293,2128.4258,-3001.078125,4530196.5
0.816,1352.1605263697395,26.444105314956175,4895.375,28.409391403198242,4895.375,-1383.4755859375,23964696.0
0.82,1360.4546878851258,13.88273439425601,5001.797,26.836864471435547,5001.797,851.3697265625,25017972.0
0.824,1368.9497341095732,22.63102684101548,3192.6377,25.322649002075195,3192.6377,2617.962109375,10192935.0
0.828,1377.4212514977232,25.551060178544212,532.10645,24.68582534790039,532.10645,3150.068359375,283137.28
0.832,1385.6984722078778,14.706418031320155,-1596.3184,22.082874298095703,1596.3184,2405.11953125,2548232.2
0.836,1393.9521909761906,25.85499870044744,-2979.795,21.228425979614258,2979.795,830.085546875,8879178.0
0.84,1402.7128492571621,32.352055370168166,-3405.4805,22.2066707611084,3405.4805,-851.369921875,11597297.0
0.844,1411.9286991809606,35.31384309009533,-2873.374,229.08575439453125,2873.374,-2064.572265625,8256278.5
0.848,1420.9998036131656,31.21067203398642,-1596.3184,22.640661239624023,1596.3184,-2490.2572265625,2548232.2
0.852,1429.9690088114157,22.64780176228236,212.84277,23.73243522644043,212.84277,-2128.425,45302.047
0.856,1438.3990082817145,15.858952049566486,1702.7402,22.87052345275879,1702.7402,-1191.91796875,2899324.2
0.86,1446.8408931672147,15.849337131024729,2554.1104,24.967727661132812,2554.1104,0.0001953125,6523479.5
