Time (s),Depth,PHI,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.996,2495.474831015423,0.0005975506953729981,-7151.0625,26.16526222229004,7151.0625,-858.1265625,51137696.0
1.0,2505.418411265274,0.00031472901221945876,-10011.492,225.25363159179688,10011.492,-2908.098828125,100229976.0
1.004,2515.2495247911174,0.00042971487467043345,-8819.645,23.766677856445312,8819.645,-5244.11328125,77786130.0
1.008,2525.0878158066025,0.00032852893537878796,-4052.2695,22.806894302368164,4052.2695,-6435.957421875,16420888.0
1.012,2535.111137573115,0.0008422275146228324,2145.3203,22.032453536987305,2145.3203,-5577.8296875,4602399.0
1.016,2545.2210445630617,0.0007678955436937528,7866.172,22.588603973388672,7866.172,-2574.3828125,61876660.0
1.02,2555.057654623755,0.0,10726.598,22.424293518066406,10726.598,1573.23515625,115059896.0
1.024,2565.1632380020083,0.0006626476004017903,10249.859,22.379655838012695,10249.859,5387.1359375,105059620.0
1.028,2575.0862212171896,8.688939140543136e-05,6435.957,23.74751853942871,6435.957,7484.78125,41421544.0
1.032,2585.0856260918667,0.00077856260918662,476.73828,24.5131893157959,476.73828,7151.06484375,227279.39
1.036,2595.0129728223205,0.0,-5482.4805,25.509906768798828,5482.4805,4481.334375,30057592.0
1.04,2605.0012993168393,0.0,-9058.016,25.882081985473633,9058.016,524.41171875,82047650.0
1.044,2615.146979884138,0.0005524160926894411,-9296.383,224.69891357421875,9296.383,-3384.83671875,86422740.0
1.048,2625.0942372349705,0.00025172882950924417,-5959.2188,26.280498504638672,5959.2188,-5863.871875,35512290.0
1.052,2635.312417903558,0.0005637253710670444,953.47656,27.208433151245117,953.47656,-5768.52421875,909117.56
1.056,2645.3638259910326,0.0007417044053802385,8819.648,27.471908569335938,8819.648,-2908.0984375,77786200.0
1.06,2655.7640601412418,0.0008992180423723538,13587.023,28.18760108947754,13587.023,1620.909375,184607200.0
1.064,2665.97743913662,0.0006087195683100329,11441.703,28.547470092773438,11441.703,5768.5265625,130912570.0
1.068,2675.8215165692013,0.0,3098.7969,28.61737632751465,3098.7969,7580.1296875,9602542.0
1.072,2685.715367133127,0.0,-6197.59,28.675098419189453,6197.59,6149.91640625,38410120.0
1.076,2695.9618152126122,0.0009661815212612889,-10249.859,27.209766387939453,10249.859,2336.01484375,105059620.0
1.08,2706.225143021219,0.0008874856978780172,-8819.645,226.01280212402344,8819.645,-2145.31875,77786130.0
1.084,2716.5496502615333,0.0008448950784598333,-5482.4805,20.60081672668457,5482.4805,-5530.15546875,30057592.0
1.088,2726.6228055371084,0.0006245611074215374,-2622.0566,16.83443260192871,2622.0566,-6674.326171875,6875181.0
1.092,2737.141788750631,0.0,238.36914,17.98019790649414,238.36914,-5387.134375,56819.848
1.096,2747.6387803236107,0.00020060983819477032,4290.6406,23.320844650268555,4290.6406,-2479.034375,18409596.0
1.1,2758.1036132357494,0.0005896386764251511,7627.801,26.92229461669922,7627.801,810.4546875,58183344.0
1.104,2768.841155901016,0.0007905779505077693,7151.0664,29.553293228149414,7151.0664,3337.1640625,51137750.0
1.108,2779.3762063706868,0.0008176206370687466,2622.0586,29.274810791015625,2622.0586,4385.987109375,6875191.5
1.112,2789.9411374696756,0.000924113746967649,-1906.9492,26.81545066833496,1906.9492,3956.9234375,3636455.2
1.116,2800.2885913203586,2.281735928476381e-06,-3813.9004,24.112060546875,3813.9004,2336.015234375,14545836.0
1.12,2810.798828161097,0.00018046873556188992,-3098.795,13.225228309631348,3098.795,190.69609375,9602530.0
1.124,2821.335081439796,0.010323472350811986,-2860.4258,1.8866310119628906,2860.4258,-1811.60234375,8182035.5
1.128,2831.3427249073106,0.0,-3337.164,6.4708452224731445,3337.164,-3003.446875,11136664.0
1.132,2841.7773180862323,0.000814536382753688,-4052.2695,238.49513244628906,4052.2695,-3432.5109375,16420888.0
1.136,2852.201667061502,0.015782645977212257,-3813.9004,16.302579879760742,3813.9004,-3432.5109375,14545836.0
1.14,2862.5815032587093,0.0007544509776124572,-2860.4258,12.999444007873535,2860.4258,-3384.837109375,8182035.5
1.144,2872.9713262206924,0.0,-1906.9492,10.92686939239502,1906.9492,-3194.141796875,3636455.2
1.148,2883.570548820059,0.0009400000000000002,-476.73633,12.02538776397705,476.73633,-2622.05625,227277.53
1.152,2893.972023114293,0.0007755953771413493,1906.9512,14.516443252563477,1906.9512,-1430.212109375,3636462.8
1.156,2904.3834760382724,0.0,5005.746,16.56737518310547,5005.746,333.7171875,25057494.0
1.16,2915.052129570427,0.0008356388711279045,7866.172,18.687273025512695,7866.172,2479.03671875,61876660.0
1.164,2925.706763972762,0.0003013527945526872,8581.277,20.309871673583984,8581.277,4576.68203125,73638320.0
1.168,2936.279176216548,0.0006962471350359001,6435.957,20.252389907836914,6435.957,5959.220703125,41421544.0
1.172,2946.7333877796627,0.00013667755593265013,2860.4277,19.118789672851562,2860.4277,6149.916015625,8182047.0
1.176,2957.256295362239,0.00039,715.1074,11.886183738708496,715.1074,5291.78828125,511378.62
1.18,2968.0808080626307,0.00043121209394455037,953.47656,6.733456611633301,953.47656,3909.24921875,909117.56
1.184,2978.573258690068,0.0,2145.3203,10.817525863647461,2145.3203,2622.0578125,4602399.0
1.188,2989.241571982553,0.000708314396510687,2145.3203,8.597296714782715,2145.3203,1763.93046875,4602399.0
1.192,2999.4933271640216,0.00032,238.36914,14.475285530090332,238.36914,1239.51875,56819.848
1.196,3010.046073471619,0.0007599999999999999,-2383.6875,14.333877563476562,2383.6875,619.759765625,5681966.0
