Time (s),Depth,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.216,239.48590704743427,6.486229386447217,5154.449,26.959468841552734,5154.449,1577.8923828125,26568346.0
0.22,243.40849535633086,6.503,3786.9443,27.27394676208496,3786.9443,2798.130078125,14340947.0
0.224,246.99399225425037,6.266,105.19238,27.575305938720703,105.19238,2945.4001953125,11065.4375
0.228,250.5311137677899,5.817999999999999,-4418.1016,28.573802947998047,4418.1016,1725.1626953125,19519622.0
0.232,253.9215757296784,5.938866651324304,-7047.922,29.23751449584961,7047.922,-483.8875,49673204.0
0.236,257.4986056989576,7.005,-5890.801,220.09388732910156,5890.801,-2692.9375,34701532.0
0.24,261.0547143312542,6.2927185445609455,-1367.5078,30.39585304260254,1367.5078,-3723.8279296875,1870077.6
0.244,264.58046144141474,6.027058407190959,4102.5195,31.06217384338379,4102.5195,-2924.3625,16830666.0
0.248,268.033051244377,6.423330980807544,7363.5,31.721782684326172,7363.5,-568.0421875,54221132.0
0.252,271.61787996075634,7.005,6311.5703,31.062910079956055,6311.5703,2103.85625,39835920.0
0.256,275.21367742388617,5.696501930680927,1683.0859,30.2143611907959,1683.0859,3618.63359375,2832778.2
0.26,278.65402110963856,9.26983261715097,-4207.715,29.67863655090332,4207.715,3050.5921875,17704864.0
0.264,282.0115485440682,8.143669272423839,-8099.8516,28.189699172973633,8099.8516,610.11796875,65607596.0
0.268,285.62815026988943,8.592,-8415.43,222.8795166015625,8415.43,-2545.66796875,70819460.0
0.272,289.23756748073845,9.853748489750904,-4838.871,26.845136642456055,4838.871,-4775.75625,23414674.0
0.276,292.817013176639,8.305370423792503,1051.9287,26.001676559448242,1051.9287,-4901.9876953125,1106554.0
0.28,296.4342895098761,9.90525019692288,6732.3438,25.434661865234375,6732.3438,-2713.9759765625,45324452.0
0.284,299.7657027779204,10.028100278306932,9782.9375,25.12605857849121,9782.9375,862.5818359375,95705864.0
0.288,303.361733624422,10.736999999999997,8941.395,24.34221649169922,8941.395,4333.9466796875,79948536.0
0.292,306.9207508907239,8.934223239303037,4944.0625,23.783870697021484,4944.0625,6290.5333984375,24443754.0
0.296,310.6877035666655,11.590683260339903,-315.5791,23.39711570739746,315.5791,6017.0318359375,99590.17
0.3,314.22332396912543,8.753,-4312.9062,22.312374114990234,4312.9062,3807.9818359375,18601160.0
0.304,317.9818356558961,8.887210475670578,-5785.6094,20.624553680419922,5785.6094,694.2724609375,33473276.0
0.308,321.78533008641074,9.10893885309947,-5154.449,231.40069580078125,5154.449,-2124.8962890625,26568346.0
0.312,325.712108025705,9.063779597075342,-3681.752,14.679793357849121,3681.752,-3850.0591796875,13555297.0
0.316,329.5865421229026,9.772753331838645,-2629.8232,9.787281036376953,2629.8232,-4312.9080078125,6915970.5
0.32,333.4717844278241,10.879854613461692,-1998.665,9.505744934082031,1998.665,-3850.059765625,3994662.0
0.324,337.32286946268306,8.753,-1051.9297,14.73801040649414,1051.9297,-2903.323828125,1106556.1
0.328,341.23673739769185,8.917,631.1572,21.146413803100586,631.1572,-1746.2025390625,398359.44
0.332,345.10608243561575,8.92715766747246,2314.2432,26.852447509765625,2314.2432,-547.003515625,5355721.5
0.336,348.9742867847196,9.784999999999998,2629.8213,34.235774993896484,2629.8213,504.925390625,6915960.0
0.34,352.9019253720506,8.277517463518329,841.54297,42.37490463256836,841.54297,1072.9669921875,708194.56
0.344,356.7788387754967,8.434,-2103.8584,43.88243865966797,2103.8584,862.58125,4426220.0
0.348,360.67441195992564,8.917,-4312.9062,211.7818145751953,4312.9062,-126.2314453125,18601160.0
0.352,364.4768181225362,7.86407735987053,-3366.1729,32.5787467956543,3366.1729,-1262.3146484375,11331120.0
0.356,368.2744139316717,7.545000000000001,841.54297,28.426097869873047,841.54297,-1619.9703125,708194.56
0.36,371.85359678585286,7.269999999999997,6732.3438,27.04640769958496,6732.3438,-441.81015625,45324452.0
0.364,375.23311252017993,7.829999999999999,11045.254,26.585693359375,11045.254,2188.0123046875,121997630.0
0.368,378.51387413910754,7.974277482782143,10729.672,25.56853675842285,10729.672,5196.5279296875,115125860.0
0.372,381.96944973316687,7.831000000000002,5364.836,25.162517547607422,5364.836,6942.7296875,28781464.0
0.376,385.3155611413849,7.708408043599448,-3155.787,25.18634605407715,3155.787,6143.263671875,9958992.0
0.38,388.52291440637214,7.135999999999998,-10729.676,25.002513885498047,10729.676,2650.859765625,115125944.0
0.384,391.72207523758874,7.3759776768820915,-13780.27,24.924148559570312,13780.27,-2314.244921875,189895820.0
0.388,394.9604194775804,5.926999999999999,-11150.445,225.12841796875,11150.445,-6690.268359375,124332430.0
0.392,398.1596089966671,7.215876055528809,-4733.6797,24.71295738220215,4733.6797,-8709.971484375,22407724.0
0.396,401.5437155813044,10.208470197762379,2103.8574,24.729598999023438,2103.8574,-7658.042578125,4426216.0
0.4,405.1697697483572,7.865265392265021,6416.7656,24.761634826660156,6416.7656,-4228.754296875,41174880.0
0.404,409.0123123754037,9.158534480907257,7047.922,24.275548934936523,7047.922,-63.116015625,49673204.0
0.408,413.0101719400292,10.32567331394529,5049.258,23.830474853515625,5049.258,3176.824609375,25495004.0
0.412,417.15956035297114,8.819321021134,2103.8574,23.4168701171875,2103.8574,4544.33203125,4426216.0
0.416,421.3785470596154,9.605000000000002,0.0,20.524471282958984,0.0,4123.560546875,0.0
0.42,425.6579254381456,9.427999999999999,-631.1582,13.149683952331543,631.1582,2713.97578125,398360.7
